id,city,state,latitude,longitude
1666387,Alder Peak,CA,35.9732984,-121.3393741
1657907,Alder Springs,CA,39.6509897,-122.7255521
1657909,Alderpoint,CA,40.1762567,-123.6116952
1534854,Alderson,WV,37.7259540,-80.6420237
1554394,Alderson,WV,37.6337329,-80.6295197
1549630,Alderson,WV,37.7234534,-80.7289713
1350960,Aldine,TX,29.9324450,-95.3802149
156005,Aldrich,AL,33.0209548,-86.9194347
112976,Aldrich,AL,33.1076189,-86.8911009
713197,Aldrich,MO,37.5475408,-93.5546465
639265,Aldrich North,MN,46.3763513,-94.9366889
1100167,Aledo,OK,35.8272684,-99.1242644
1329342,Aledo,TX,32.6959643,-97.6022471
403393,Aledo East,IL,41.1997568,-90.7493063
413608,Aledo West,IL,41.2414223,-90.8184746
1089579,Alex,OK,34.9147921,-97.7786493
57254,Alexander,AR,34.6295373,-92.4412674
47927,Alexander,AR,34.6367595,-92.4754354
333201,Alexander,GA,33.0934853,-81.8237256
454123,Alexander,IA,42.8058039,-93.4765943
397368,Alexander,ID,42.6510310,-111.7091171
403398,Alexander,IL,39.7244928,-90.0381679
475598,Alexander,KS,38.4694588,-99.5531697
1034679,Alexander,ND,47.8430756,-103.6426980
942301,Alexander,NY,42.9011711,-78.2566834
1329346,Alexander,TX,32.0590335,-98.2061509
112981,Alexander City,AL,32.9440120,-85.9538532
305200,Alexander Springs,FL,29.0802601,-81.5781282
529475,Alexandria,DC,38.8445571,-77.0163651
430066,Alexandria,IN,40.2628184,-85.6758090
485831,Alexandria,KY,38.9595078,-84.3879946
508120,Alexandria,KY,38.9636739,-84.4513293
1629910,Alexandria,LA,31.3112936,-92.4451371
597137,Alexandria,MD,38.7770584,-77.0030310
826939,Alexandria,NE,40.2452794,-97.3892076
1168146,Alexandria,PA,40.5564586,-78.0977847
1253612,Alexandria,SD,43.6535920,-97.7828482
1313829,Alexandria,TN,36.0775587,-86.0333222
1305471,Alexandria,TN,36.1172796,-86.0277667
1312867,Alexandria,TN,36.0914472,-86.0886005
1492544,Alexandria,VA,38.7853915,-77.0630330
1492456,Alexandria,VA,38.8048356,-77.0469214
1493586,Alexandria,VA,38.8417794,-77.0883115
942309,Alexandria Bay,NY,44.3358836,-75.9177309
2069791,Alexandria East,MN,45.9055556,-95.3438889
639272,Alexandria West,MN,45.8852397,-95.3775379
403405,Alexis,IL,41.0633703,-90.5559675
1089581,Alfalfa,OK,35.2189456,-98.6072856
1116850,Alfalfa,OR,44.0773433,-121.0169654
835226,Alfalfa Center,NE,40.6922340,-99.1792581
1168147,Alfarata,PA,40.6625726,-77.4569371
277741,Alford,FL,30.6938049,-85.3921505
295314,Alford,FL,30.6343604,-85.4924281
430072,Alfordsville,IN,38.5606067,-86.9483354
445985,Alfordsville,IN,38.6186619,-86.9127796
561165,Alfred,ME,43.4764710,-70.7183902
1617410,Alfred,MI,46.0838400,-87.6326343
942313,Alfred,NY,42.2542366,-77.7905509
1048462,Alfred,OH,39.2361864,-81.9823621
1070660,Alfred,OH,39.1725764,-81.9209708
1064310,Alger,OH,40.7061631,-83.8438267
